KCCDistrict,Town,Village,StreetName,Avg_Reform_Prob,Success_Category,ElectorCount,Latitude,Longitude
ARSouth,Ashford,Kingsnorth,Cockerel Place,0.31287292,Moderate,34,51.108941,0.8813
ARSouth,Ashford,Woodchurch,Coldblow,0.32517192,Moderate,26,51.086861,0.798349
ARSouth,Ashford,Kingsnorth,Colemans Close,0.10042139,Poor,53,51.128459,0.841987
ARSouth,Ashford,Kingsnorth,Collie Drive,0.2048265,Poor,35,51.125691,0.848192
ARSouth,Ashford,Kingsnorth,Conker Close,0.29082403,Poor,77,51.118989,0.875033
ARSouth,Ashford,Kingsnorth,Constantine Road,0.18886939,Poor,61,51.125357,0.856319
ARSouth,Ashford,Kingsnorth,Corner Field,0.20938487,Poor,52,51.124668,0.869783
ARSouth,Ashford,,Cornfield Lane,0.32123023,Moderate,31,51.108719,0.884829
ARSouth,Ashford,Hamstreet,Cotton Hill Walk,0.26154742,Poor,8,51.065091,0.859057
ARSouth,Ashford,Kingsnorth,Coulter Road,0.18429057,Poor,45,51.128013,0.841846
ARSouth,Ashford,Shadoxhurst,Criol Lane,0.22866623,Poor,12,51.113861,0.814856
ARSouth,Ashford,,Croftwood,0.2431723,Poor,38,51.131341,0.841821
ARSouth,,Kingsnorth,Crop Lane,0.5490401,Good,31,51.106253,0.883076
ARSouth,Ashford,Kingsnorth,Damara Way,0.10142406,Poor,70,51.114057,0.882457
ARSouth,Ashford,Kingsnorth,Dorset Crescent,0.63562673,Very Good,47,51.11314,0.8828
ARSouth,Ashford,Kingsnorth,Dove Close,0.28409034,Poor,110,51.117773,0.873628
ARSouth,Ashford,,Down Court,0.4582013,Good,21,51.126639,0.848379
ARSouth,Ashford,Kingsnorth,Downsberry Road,0.57019526,Good,32,51.111658,0.882351
ARSouth,Ashford,Shadoxhurst,Duck Lane,0.3390438,Moderate,12,51.103098,0.81173
ARSouth,Ashford,Hamstreet,Dukes Meadow,0.33418247,Moderate,46,51.065132,0.856276
ARSouth,Ashford,Bilsington,Dynes Lane,0.25798622,Poor,3,51.08492,0.893911
ARSouth,Ashford,Shadoxhurst,Eastwell Close,0.25743487,Poor,11,51.108518,0.820089
ARSouth,Ashford,Kingsnorth,Emmetts Close,0.41725674,Good,10,51.111632,0.880863
ARSouth,Ashford,Kingsnorth,Emperor Way,0.16909291,Poor,94,51.122802,0.854503
ARSouth,Ashford,Hamstreet,Fairfield Terrace,0.2969572,Poor,92,51.062815,0.859079
ARSouth,Ashford,Shadoxhurst,Farley Close,0.17240244,Poor,17,51.108416,0.815368
ARSouth,Ashford,Hamstreet,Farm Road,0.3280945,Moderate,35,51.06188,0.858317
ARSouth,Ashford,Warehorne,Farmers Grove,0.22451599,Poor,14,51.064843,0.848927
